,Activo,D,C&P,Día,Fecha / Hora,Fecha / Hora de Cierre,T. Op,Dia LIVE,Tiempo D/R,Deposito,Retiro,#Cont,STRK Buy,STRK Sell,Profit,% Profit. Op,Profit Tot.,DD/Max,Profit T.,IV Rank,% Alcanzado,Profit Alcanzado,% Media,Profit Media,Objetividad 0-10,Fotos,Notas,#
92,SPY,3d,CALL,Ju,2025-05-01T03:40:30.706,2025-05-01T03:40:30.706,00h 00m,,,,,1,30,0,-30,-100.00%,2155,-1.37%,-1.37%,,,1000.00,,1000.00,,,,92
91,SPY,3d,CALL,Ju,2025-05-01T03:40:24.994,2025-05-01T03:40:24.994,00h 00m,,,,,1,30,60,30,100.00%,2185,1.39%,1.39%,,,1000.00,,1000.00,,,,91
90,SPY,3d,CALL,Ju,2025-05-01T03:40:20.158,2025-05-01T03:40:20.158,00h 00m,,,,,1,30,30,0,0.00%,2155,0.00%,0%,,,1000.00,,1000.00,,,,90
89,SPY,3d,CALL,Ju,2025-05-01T03:40:14.514,2025-05-01T03:40:14.514,00h 00m,,,,,1,30,60,30,100.00%,2155,5.03%,1.41%,,,1000.00,,1000.00,,,,89
88,SPY,3d,PUT,Ju,2025-05-01T03:40:11.514,2025-05-01T03:40:11.514,00h 00m,,,,,1,30,45,15,50.00%,2125,3.62%,0.71%,,,1000.00,,1000.00,,,,88
87,SPY,3d,CALL,Ju,2025-05-01T03:40:03.183,2025-05-01T03:40:03.183,00h 00m,,,,,1,30,60,30,100.00%,2110,2.91%,1.44%,,,1000.00,,1000.00,,,,87
86,SPY,3d,CALL,Ju,2025-05-01T03:39:57.199,2025-05-01T03:39:57.199,00h 00m,,,,,1,30,60,30,100.00%,2080,1.46%,1.46%,,,1000.00,,1000.00,,,,86
85,SPY,3d,CALL,Mi,2025-04-30T23:03:31.858,2025-04-30T23:03:31.858,00h 00m,,,,,1,30,30,0,0.00%,2050,0.00%,0%,,,1000.00,,1000.00,,,,85
84,SPY,3d,CALL,Mi,2025-04-30T23:01:36.749,2025-04-30T23:01:36.749,00h 00m,,,,,1,30,60,30,100.00%,2050,0.00%,1.49%,,,1000.00,,1000.00,,,,84
83,SPY,3d,PUT,Mi,2025-04-30T23:01:02.940,2025-04-30T23:01:02.940,00h 00m,,,,,1,30,60,30,100.00%,2020,-0.74%,1.51%,,,1000.00,,1000.00,,,,83
82,SPY,3d,PUT,Mi,2025-04-30T23:01:00.941,2025-04-30T23:01:00.941,00h 00m,,,,,1,30,0,-30,-100.00%,1990,-2.21%,-1.49%,,,1000.00,,1000.00,,,,82
81,SPY,3d,PUT,Mi,2025-04-30T22:59:30.041,2025-04-30T22:59:30.041,00h 00m,,,,,1,30,60,30,100.00%,2020,-0.74%,1.51%,,,1000.00,,1000.00,,,,81
80,SPY,3d,CALL,Mi,2025-04-30T22:59:28.194,2025-04-30T22:59:28.194,00h 00m,,,,,1,30,0,-30,-100.00%,1990,-2.21%,-1.49%,,,1000.00,,1000.00,,,,80
79,SPY,3d,CALL,Mi,2025-04-30T22:57:49.290,2025-04-30T22:57:49.290,00h 00m,,,,,1,30,45,15,50.00%,2020,-0.74%,0.75%,,,1000.00,,1000.00,,,,79
78,SPY,3d,PUT,Mi,2025-04-30T21:11:07.038,2025-04-30T21:11:07.038,00h 00m,,,,,1,30,0,-30,-100.00%,2005,-1.47%,-1.47%,50%,,1000.00,,1000.00,,,,78
77,SPY,3d,PUT,Mi,2025-04-30T21:11:01.403,2025-04-30T21:11:01.403,00h 00m,,,,,1,30,60,30,100.00%,2035,7.72%,1.50%,,,1000.00,,1000.00,,,,77
76,SPY,3d,CALL,Mi,2025-04-30T21:10:18.851,2025-04-30T21:10:18.851,00h 00m,,,,,1,30,60,30,100.00%,2005,6.22%,1.52%,,,1000.00,,1000.00,,,,76
75,SPY,3d,PUT,Mi,2025-04-30T21:08:35.770,2025-04-30T21:08:35.770,00h 00m,,,,,1,30,60,30,100.00%,1975,4.70%,1.54%,,,1000.00,,1000.00,,,,75
74,SPY,3d,CALL,Mi,2025-04-30T21:07:54.209,2025-04-30T21:07:54.209,00h 00m,,,,,1,30,60,30,100.00%,1945,3.16%,1.57%,,,1000.00,,1000.00,,,,74
73,SPY,3d,CALL,Mi,2025-04-30T21:07:31.374,2025-04-30T21:07:31.374,00h 00m,,,,,1,30,60,30,100.00%,1915,1.59%,1.59%,,,1000.00,,1000.00,,,,73
72,SPY,3d,PUT,Mi,2025-04-30T21:06:26.160,2025-04-30T21:06:26.160,00h 00m,,,,,1,30,60,30,100.00%,1885,0.00%,1.62%,,,1000.00,,1000.00,,,,72
71,SPY,3d,PUT,Mi,2025-04-30T20:58:57.664,2025-04-30T20:58:57.664,00h 00m,,,,,1,30,60,30,100.00%,1855,-0.80%,1.64%,,,1000.00,,1000.00,,,,71
70,SPY,3d,CALL,Mi,2025-04-30T20:57:23.679,2025-04-30T20:57:23.679,00h 00m,,,,,1,30,45,15,50.00%,1825,-2.41%,0.83%,,,1000.00,,1000.00,,,,70
69,SPY,3d,CALL,Mi,2025-04-30T20:57:09.756,2025-04-30T20:57:09.756,00h 00m,,,,,1,30,0,-30,-100.00%,1810,-3.21%,-1.63%,,,1000.00,,1000.00,,,,69
68,SPY,3d,CALL,Mi,2025-04-30T20:56:59.838,2025-04-30T20:56:59.838,00h 00m,,,,,1,30,0,-30,-100.00%,1840,-1.60%,-1.60%,,,1000.00,,1000.00,,,,68
67,SPY,3d,CALL,Mi,2025-04-30T20:55:39.497,2025-04-30T20:55:39.497,00h 00m,,,,,1,30,45,15,50.00%,1870,0.81%,0.81%,,,1000.00,,1000.00,,,,67
66,SPY,3d,CALL,Mi,2025-04-30T18:34:48.847,2025-04-30T18:34:48.847,00h 00m,,,,,1,30,30,0,0.00%,1855,0.00%,0%,,,1000.00,,1000.00,,,,66
65,SPY,3d,CALL,Mi,2025-04-30T18:34:15.782,2025-04-30T18:34:15.782,00h 00m,,,,,1,30,45,15,50.00%,1855,7.62%,0.82%,,,1000.00,,1000.00,,,,65
64,SPY,3d,CALL,Mi,2025-04-30T18:32:34.011,2025-04-30T18:32:34.011,00h 00m,,,,,1,30,60,30,100.00%,1840,6.80%,1.66%,,,1000.00,,1000.00,,,,64
63,SPY,3d,PUT,Mi,2025-04-30T18:31:02.497,2025-04-30T18:31:02.497,00h 00m,,,,,1,30,60,30,100.00%,1810,5.14%,1.69%,,,1000.00,,1000.00,,,,63
62,SPY,3d,CALL,Mi,2025-04-30T18:30:59.083,2025-04-30T18:30:59.083,00h 00m,,,,,1,30,60,30,100.00%,1780,3.46%,1.71%,,,1000.00,,1000.00,,,,62
61,SPY,3d,PUT,Mi,2025-04-30T18:21:59.402,2025-04-30T18:21:59.402,00h 00m,,,,,1,30,60,30,100.00%,1750,1.74%,1.74%,,,1000.00,,1000.00,,,,61
60,SPY,3d,CALL,Mi,2025-04-30T18:20:50.341,2025-04-30T18:20:50.341,00h 00m,,,,,1,30,30,0,0.00%,1720,0.00%,0%,,,1000.00,,1000.00,,,,60
59,SPY,3d,PUT,Mi,2025-04-30T18:20:11.037,2025-04-30T18:20:11.037,00h 00m,,,,,1,30,60,30,100.00%,1720,6.35%,1.78%,,,1000.00,,1000.00,,,,59
58,SPY,3d,CALL,Mi,2025-04-30T18:17:43.421,2025-04-30T18:17:43.421,00h 00m,,,,,1,30,60,30,100.00%,1690,4.58%,1.81%,,,1000.00,,1000.00,,,,58
57,SPY,3d,PUT,Mi,2025-04-30T18:17:02.382,2025-04-30T18:17:02.382,00h 00m,,,,,1,30,45,15,50.00%,1660,2.77%,0.91%,,,1000.00,,1000.00,,,,57
56,SPY,3d,PUT,Mi,2025-04-30T18:16:49.035,2025-04-30T18:16:49.035,00h 00m,,,,,1,30,60,30,100.00%,1645,1.86%,1.86%,,,1000.00,,1000.00,,,,56
55,SPY,3d,CALL,Mi,2025-04-30T18:16:45.537,2025-04-30T18:16:45.537,00h 00m,,,,,1,30,30,0,0.00%,1615,0.00%,0%,,,1000.00,,1000.00,,,,55
54,SPY,3d,CALL,Mi,2025-04-30T18:16:34.228,2025-04-30T18:16:34.228,00h 00m,,,,,1,30,30,0,0.00%,1615,0.00%,0%,,,1000.00,,1000.00,,,,54
53,SPY,3d,CALL,Mi,2025-04-30T18:16:22.288,2025-04-30T18:16:22.288,00h 00m,,,,,1,30,60,30,100.00%,1615,12.99%,1.89%,,,1000.00,,1000.00,,,,53
52,SPY,3d,CALL,Mi,2025-04-30T18:16:17.062,2025-04-30T18:16:17.062,00h 00m,,,,,1,30,60,30,100.00%,1585,11.10%,1.93%,,,1000.00,,1000.00,,,,52
51,SPY,3d,PUT,Mi,2025-04-30T18:16:13.507,2025-04-30T18:16:13.507,00h 00m,,,,,1,30,60,30,100.00%,1555,9.17%,1.97%,,,1000.00,,1000.00,,,,51
50,SPY,3d,CALL,Mi,2025-04-30T18:16:11.040,2025-04-30T18:16:11.040,00h 00m,,,,,1,30,60,30,100.00%,1525,7.20%,2.01%,,,1000.00,,1000.00,,,,50
49,SPY,3d,CALL,Mi,2025-04-30T18:16:04.487,2025-04-30T18:16:04.487,00h 00m,,,,,1,30,60,30,100.00%,1495,5.19%,2.05%,,,1000.00,,1000.00,,,,49
48,SPY,3d,CALL,Mi,2025-04-30T18:15:39.940,2025-04-30T18:15:39.940,00h 00m,,,,,1,30,45,15,50.00%,1465,3.15%,1.03%,,,1000.00,,1000.00,,,,48
47,SPY,3d,PUT,Mi,2025-04-30T18:15:33.915,2025-04-30T18:15:33.915,00h 00m,,,,,1,30,60,30,100.00%,1450,2.11%,2.11%,,,1000.00,,1000.00,,,,47
46,SPY,3d,CALL,Mi,2025-04-30T18:15:30.265,2025-04-30T18:15:30.265,00h 00m,,,,,1,30,30,0,0.00%,1420,0.00%,0%,,,1000.00,,1000.00,,,,46
45,SPY,3d,CALL,Mi,2025-04-30T18:15:18.419,2025-04-30T18:15:18.419,00h 00m,,,,,1,30,60,30,100.00%,1420,0.00%,2.16%,,,1000.00,,1000.00,,,,45
44,SPY,3d,CALL,Mi,2025-04-30T18:15:12.428,2025-04-30T18:15:12.428,00h 00m,,,,,1,30,15,-15,-50.00%,1390,-1.07%,-1.07%,,,1000.00,,1000.00,,,,44
43,SPY,3d,CALL,Mi,2025-04-30T18:14:56.017,2025-04-30T18:14:56.017,00h 00m,,,,,1,30,60,30,100.00%,1405,3.28%,2.18%,,,1000.00,,1000.00,,,,43
42,SPY,3d,CALL,Mi,2025-04-30T18:14:44.709,2025-04-30T18:14:44.709,00h 00m,,,,,1,30,45,15,50.00%,1375,1.10%,1.10%,,,1000.00,,1000.00,,,,42
41,SPY,3d,CALL,Mi,2025-04-30T18:14:36.169,2025-04-30T18:14:36.169,00h 00m,,,,,1,30,30,0,0.00%,1360,0.00%,0%,,,1000.00,,1000.00,,,,41
40,SPY,3d,CALL,Mi,2025-04-30T18:08:18.575,2025-04-30T18:08:18.575,00h 00m,,,,,1,30,60,30,100.00%,1360,2.26%,2.26%,,,1000.00,,1000.00,,,,40
39,SPY,3d,CALL,Mi,2025-04-30T18:08:09.517,2025-04-30T18:08:09.517,00h 00m,,,,,1,30,30,0,0.00%,1330,0.00%,0%,,,1000.00,,1000.00,,,,39
38,SPY,3d,CALL,Mi,2025-04-30T18:08:04.550,2025-04-30T18:08:04.550,00h 00m,,,,,1,30,60,30,100.00%,1330,2.31%,2.31%,,,1000.00,,1000.00,,,,38
37,SPY,3d,PUT,Mi,2025-04-30T18:08:01.055,2025-04-30T18:08:01.055,00h 00m,,,,,1,30,60,30,100.00%,1300,0.00%,2.36%,,,1000.00,,1000.00,,,,37
36,SPY,3d,CALL,Mi,2025-04-30T18:07:57.525,2025-04-30T18:07:57.525,00h 00m,,,,,1,30,15,-15,-50.00%,1270,-1.17%,-1.17%,,,1000.00,,1000.00,,,,36
35,SPY,3d,CALL,Ma,2025-04-29T20:12:15.384,2025-04-29T20:12:15.384,00h 00m,,,,,1,30,60,30,100.00%,1285,0.00%,2.39%,,,1000.00,,1000.00,,,,35
34,SPY,3d,PUT,Ma,2025-04-29T20:11:31.750,2025-04-29T20:11:31.750,00h 00m,,,,,1,30,30,0,0.00%,1255,-1.18%,0%,,,1000.00,,1000.00,,,,34
33,SPY,3d,CALL,Ma,2025-04-29T20:10:42.490,2025-04-29T20:10:42.490,00h 00m,,,,,1,30,15,-15,-50.00%,1255,-1.18%,-1.18%,,,1000.00,,1000.00,,,,33
32,SPY,,CALL,Ma,2025-04-29T20:02:20.117,2025-04-29T20:02:20.117,00h 00m,,,,,1,30,60,30,100.00%,1270,7.44%,2.42%,,,1000.00,,1000.00,,,,32
31,SPY,,CALL,Ma,2025-04-29T20:00:41.454,2025-04-29T20:00:41.454,00h 00m,,,,,1,30,60,30,100.00%,1240,5.02%,2.48%,,,1000.00,,1000.00,,,,31
30,SPY,,CALL,Ma,2025-04-29T19:55:16.926,2025-04-29T19:55:16.926,00h 00m,,,,,1,30,60,30,100.00%,1210,2.54%,2.54%,,,1000.00,,1000.00,,,,30
29,SPY,,PUT,Ma,2025-04-29T19:54:26.802,2025-04-29T19:54:26.802,00h 00m,,,,,1,30,60,30,100.00%,1180,0.00%,2.61%,,,1000.00,,1000.00,,,,29
28,SPY,,PUT,Ma,2025-04-29T19:54:14.359,2025-04-29T19:54:14.359,00h 00m,,,,,1,30,30,0,0.00%,1150,-2.54%,0%,,,1000.00,,1000.00,,,,28
27,SPY,,PUT,Ma,2025-04-29T19:53:16.684,2025-04-29T19:53:16.684,00h 00m,,,,,1,30,60,30,100.00%,1150,-2.54%,2.68%,,,1000.00,,1000.00,,,,27
26,SPY,,CALL,Ma,2025-04-29T19:52:12.603,2025-04-29T19:52:12.603,00h 00m,,,,,1,30,15,-15,-50.00%,1120,-5.08%,-1.32%,,,1000.00,,1000.00,,,,26
25,SPY,,PUT,Ma,2025-04-29T19:51:27.107,2025-04-29T19:51:27.107,00h 00m,,,,,1,30,60,30,100.00%,1135,-3.81%,2.71%,,,1000.00,,1000.00,,,,25
24,SPY,,CALL,Ma,2025-04-29T19:51:22.338,2025-04-29T19:51:22.338,00h 00m,,,,,1,30,0,-30,-100.00%,1105,-6.36%,-2.64%,,,1000.00,,1000.00,,,,24
23,SPY,,CALL,Ma,2025-04-29T19:49:34.818,2025-04-29T19:49:34.818,00h 00m,,,,,1,30,30,0,0.00%,1135,-3.81%,0%,,,1000.00,,1000.00,,,,23
22,SPY,,PUT,Ma,2025-04-29T19:49:15.907,2025-04-29T19:49:15.907,00h 00m,,,,,1,30,30,0,0.00%,1135,-3.81%,0%,,,1000.00,,1000.00,,,,22
21,SPY,,CALL,Ma,2025-04-29T19:46:07.034,2025-04-29T19:46:07.034,00h 00m,,,,,1,30,0,-30,-100.00%,1135,-3.81%,-2.58%,,,1000.00,,1000.00,,,,21
20,SPY,,PUT,Ma,2025-04-29T19:44:11.969,2025-04-29T19:44:11.969,00h 00m,,,,,1,30,15,-15,-50.00%,1165,-1.27%,-1.27%,,,1000.00,,1000.00,,,,20
19,SPY,,CALL,Ma,2025-04-29T19:41:30.594,2025-04-29T19:41:30.594,00h 00m,,,,,1,30,60,30,100.00%,1180,5.29%,2.61%,,,1000.00,,1000.00,,,,19
18,SPY,,PUT,Ma,2025-04-29T19:40:30.090,2025-04-29T19:40:30.090,00h 00m,,,,,1,30,60,30,100.00%,1150,2.68%,2.68%,,,1000.00,,1000.00,,,,18
17,SPY,,CALL,Ma,2025-04-29T19:37:05.933,2025-04-29T19:37:05.933,00h 00m,,,,,1,30,60,30,100.00%,1120,0.00%,2.75%,,,1000.00,,1000.00,,,,17
16,SPY,,CALL,Ma,2025-04-29T19:36:40.958,2025-04-29T19:36:40.958,00h 00m,,,,,1,30,30,0,0.00%,1090,-1.36%,0%,,,1000.00,,1000.00,,,,16
15,SPY,,CALL,Ma,2025-04-29T12:15:41.491,2025-04-29T12:15:41.491,00h 00m,,,,,1,30,15,-15,-50.00%,1090,-1.36%,-1.36%,,,1000.00,,1000.00,,,,15
14,SPY,,CALL,Ma,2025-04-29T12:15:13.979,2025-04-29T12:15:13.979,00h 00m,,,,,1,30,60,30,100.00%,1105,2.79%,2.79%,,,1000.00,,1000.00,,,,14
13,SPY,,CALL,Ma,2025-04-29T12:14:39.883,2025-04-29T12:14:39.883,00h 00m,,,,,1,30,30,0,0.00%,1075,0.00%,0%,,,1000.00,,1000.00,,,,13
12,SPY,,CALL,Ma,2025-04-29T12:13:53.468,2025-04-29T12:13:53.468,00h 00m,,,,,1,30,60,30,100.00%,1075,2.87%,2.87%,,,1000.00,,1000.00,,,,12
11,SPY,,CALL,Ma,2025-04-29T12:12:44.092,2025-04-29T12:12:44.092,00h 00m,,,,,1,30,60,30,100.00%,1045,0.00%,2.96%,,,1000.00,,1000.00,,,,11
10,SPY,,CALL,Ma,2025-04-29T12:12:24.984,2025-04-29T12:12:24.984,00h 00m,,,,,1,30,60,30,100.00%,1015,-1.46%,3.05%,,,1000.00,,1000.00,,,,10
9,SPY,,CALL,Ma,2025-04-29T12:11:38.182,2025-04-29T12:11:38.182,00h 00m,,,,,1,30,0,-30,-100.00%,985,-4.37%,-2.96%,,,1000.00,,1000.00,,,,9
8,SPY,,CALL,Ma,2025-04-29T12:11:30.470,2025-04-29T12:11:30.470,00h 00m,,,,,1,30,15,-15,-50.00%,1015,-1.46%,-1.46%,,,1000.00,,1000.00,,,,8
7,SPY,,CALL,Ma,2025-04-29T12:08:58.398,2025-04-29T12:08:58.398,00h 00m,,,,,1,30,60,30,100.00%,1030,0.00%,3.00%,,,1000.00,,1000.00,,,,7
6,SPY,,CALL,Ma,2025-04-29T12:07:52.103,2025-04-29T12:07:52.103,00h 00m,,,,,1,30,45,15,50.00%,1000,-2.91%,1.52%,,,1000.00,,1000.00,,,,6
5,SPY,,CALL,Ma,2025-04-29T12:06:52.720,2025-04-29T12:06:52.720,00h 00m,,,,,1,30,60,30,100.00%,985,-4.37%,3.14%,,,1000.00,,1000.00,,,,5
4,SPY,,CALL,Ma,2025-04-29T11:04:14.857,2025-04-29T11:04:14.857,00h 00m,,,,,1,30,0,-30,-100.00%,955,-7.28%,-3.05%,,,1000.00,,1000.00,,,,4
3,SPY,,CALL,Ma,2025-04-29T11:03:17.952,2025-04-29T11:03:17.952,00h 00m,,,,,1,30,15,-15,-50.00%,985,-4.37%,-1.50%,,,1000.00,,1000.00,,,,3
2,SPY,,CALL,Ma,2025-04-29T11:01:53.001,2025-04-29T11:01:53.001,00h 00m,,,,,1,30,0,-30,-100.00%,1000,-2.91%,-2.91%,,,1000.00,,1000.00,,,,2
1,SPY,,CALL,Ma,2025-04-29T10:58:00.699,2025-04-29T10:58:00.699,00h 00m,,,,,1,30,60,30,100.00%,1030,3.00%,3.00%,,,1000.00,,1000.00,,,,1
0,DEP,,,Ma,2025-04-29T10:57:44.403,2025-04-29T10:57:44.403,,,0d 0h 00m,1000,,,,,1000,,1000,,0%,50%,,1000.00,,1000.00,,,,0
